id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11
37092701,Neenan (1986) 1_1,['Other outcome'],Secondary outcome(s),G4 Cognitive (Porteus Maze Test) - targeted qual errors - Arm1 - gain score,['Other outcome'],Secondary outcome(s),G4 Cognitive (Porteus Maze Test) - nontargeted qual errors - Arm1 - gain score,['Other outcome'],Secondary outcome(s),G4 Cognitive (Porteus Maze Test) - targeted qual errors - Arm1 - post-test,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,G4 Cognitive (Porteus Maze Test) - nontargeted qual errors - Arm1 - post-test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294933,Neenan (1986) 1_2,['Other outcome'],Primary outcome,G4 Cognitive (Porteus Maze Test) - targeted qual errors - Arm2 - gain score,['Other outcome'],Primary outcome,G4 Cognitive (Porteus Maze Test) - nontargeted qual errors - Arm2 - gain score,['Other outcome'],Secondary outcome(s),G4 Cognitive (Porteus Maze Test) - targeted qual errors - Arm2 - post-test,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,G4 Cognitive (Porteus Maze Test) - nontargeted qual errors - Arm2 - post-test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37092590,Olson (1990) FB,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,VERB PEER Writing Quality ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37092703,Oner (1977),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Achievement Skill Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37092704,Onyehalu (1983),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,VERB Piagetian Criterion Task (substance task),['Other outcome'],Secondary outcome(s),VERB Piagetian Crieterion Task (Volume Task),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37092591,Paquette (2009) 1_1,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,TE VERB TE G2 English writing ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294939,Paquette (2009) 1_2,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,TR VERB TR G4 English writing (6+1 traits),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37061141,Peeck (1979),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,WRIT DEL Delayed (Test vs Feedback),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37061139,Peeck (1985) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,WRIT G5 English Reading - feedback - factual questions,['Other outcome'],Secondary outcome(s),WRIT G5 English Reading - feedback - guess questions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294942,Peeck (1985) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,WRIT IMM Factual- Immediate Feedback,['Other outcome'],Primary outcome,WRIT DEL Factual - Delayed Feedback,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
