id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12
41816509,Hensel (1973),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Boehm Test of Basic Skills,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41817133,Herrera (2011),['Other outcome'],Primary outcome,Rhyme Oddity Test,['Other outcome'],Primary outcome,Syllabic Tapping (Spanish-music vs control grps),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Initial Phoneme Oddity Test (Spanish-music vs control grps),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41817123,Hole (2013),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Word Reading Efficiency,['Other outcome'],Secondary outcome(s),Sight Word Efficiency ,['Other outcome'],Secondary outcome(s),Phonemic Decoding Efficiency ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41817122,Hunt (2012),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Phonological Discrimination Task,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41817158,Janus (2016),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Peabody Picture Vocabulary Test III,['Other outcome'],Secondary outcome(s),Raven Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41817007,Kaplan (2013),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Achievement Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41817050,Kariuki (2006),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Academic Achievement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41817157,Kaviani (2014),['Other outcome'],Secondary outcome(s),S-BIS : VR-Music instruction,['Toolkit primary outcome'],Primary outcome,S-BIS : VAR--Music instruction,['Mathematics primary outcome'],Secondary outcome(s),S-BIS : QR-Music instruction,['Other outcome'],Secondary outcome(s),S-BIS : STM-Music instruction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41817186,Kelley (1981) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,BMRT Oral Reading in Context (cumulative total - post-test only- Arts Participation,['Other outcome'],Secondary outcome(s),BMRT Oral Reading in Context (highest level passed - post-test only) - Arts Participation,['Other outcome'],Secondary outcome(s),BMRT Oral reading in isolation (cumulative total - post-test only) - Arts participation,NA,Secondary outcome(s),BMRT Oral reading in isolation (cumulative total - pre-post gain) - Arts participation,NA,Secondary outcome(s),BMRT Oral Reading in Context (highest level passed - pre-post gain) - Arts Participation,['Other outcome'],Secondary outcome(s),BMRT Oral Reading in Context (cumulative total - pre-post gain) - Arts Participation,['Other outcome'],Secondary outcome(s),BMRT Oral reading in isolation (highest level passed - post-test only) - Arts participation,['Other outcome'],Secondary outcome(s),BMRT Oral reading in isolation (highest level passed - pre-post gain) - Arts participation,['Other outcome'],Secondary outcome(s),BMRT Silent Reading (cumulative total - post-test only) - Arts participation,['Other outcome'],Secondary outcome(s),BMRT Silent Reading (cumulative total - pre-post gain) - Arts participation,['Other outcome'],Secondary outcome(s),BMRT Silent Reading (highest level passed - post-test only) - Arts participation,['Other outcome'],Secondary outcome(s),BMRT Silent Reading (highest level passed - pre-post gain) - Arts participation
46325680,Kelley (1981) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,BMRT Oral Reading in Context (cumulative total - post-test only) - Arts Participation,['Other outcome'],Secondary outcome(s),BMRT Oral Reading in Context (cumulative total - pre-post gain) - Arts Participation,['Other outcome'],Secondary outcome(s),BMRT Oral reading in isolation (cumulative total - post-test only) - Arts participation,['Other outcome'],Secondary outcome(s),BMRT Oral reading in isolation (cumulative total - pre-post gain) - Arts participation,['Other outcome'],Secondary outcome(s),BMRT Oral Reading in Context (highest level passed - post-test only) - Arts Participation ,['Other outcome'],Secondary outcome(s),BMRT Oral Reading in Context (highest level passed - pre-post gain) - Arts Participation,['Other outcome'],Secondary outcome(s),BMRT Oral reading in isolation (highest level passed - post-test only) - Arts participation,['Other outcome'],Secondary outcome(s),BMRT Oral reading in isolation (highest level passed - pre-post gain) - Arts participation,['Other outcome'],Secondary outcome(s),BMRT Silent Reading (cumulative total - post-test only) - Arts participation ,['Other outcome'],Secondary outcome(s),BMRT Silent Reading (cumulative total - pre-post gain) - Arts participation,['Other outcome'],Secondary outcome(s),BMRT Silent Reading (highest level passed - post-test only) - Arts participation,['Other outcome'],Secondary outcome(s),BMRT Silent Reading (highest level passed - pre-post gain) - Arts participation
