ItemID,Author,SMD_1,SESMD_1,SMD_2,SESMD_2,SMD_3,SESMD_3,SMD_4,SESMD_4,SMD_5,SESMD_5,SMD_6,SESMD_6,SMD_7,SESMD_7,SMD_8,SESMD_8,SMD_9,SESMD_9,SMD_10,SESMD_10
37671552,Fricke (2013),0.4,0.4,0.4616,0.4616,0.5184,0.5184,0.97,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671553,Fricke (2017),0.2842,0.2842,0.2222,0.2222,0.0187,0.0187,0.1743,0.1743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37091029,Fuchs (1984),0.348,0.348,0.169,0.169,0.454,0.454,0.348,0.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37092579,Fuchs (1989),-0.1053,-0.1053,-0.0925,-0.0925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37092580,Fuchs (1991),-0.6955,-0.6955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37092581,Fuchs (1991),1.5748,1.5748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294904,Fuchs (1994) FB,0.2685,0.2685,0.6656,0.6656,0.2014,0.2014,-0.0443,-0.0443,0.4374,0.4374,0.9421,0.9421,0.1941,0.1941,1.0513,1.0513,NA,NA,NA,NA
37093553,Fuchs (1995),0.6189,0.6189,0.2699,0.2699,0.1559,0.1559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093549,Fuchs (1997),0.0,0.0,0.3962,0.3962,0.1222,0.1222,0.4911,0.4911,0.7097,0.7097,0.8046,0.8046,NA,NA,NA,NA,NA,NA,NA,NA
37093550,Fuchs (1997),0.2377,0.2377,0.3538,0.3538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093524,Fuchs (1997),0.6682,0.6682,-0.0981,-0.0981,0.8444,0.8444,0.2243,0.2243,0.826,0.826,0.5328,0.5328,NA,NA,NA,NA,NA,NA,NA,NA
37133902,Fuchs (1998),-0.3547,-0.3547,0.1136,0.1136,0.0765,0.0765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093618,Fuchs (1999),0.074,0.074,0.4772,0.4772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
