id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10
43090148,Friesen (1984) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,New Developmental Reading Test (f-test) - Behaviour Intervention,['Other outcome'],Secondary outcome(s),New Developmental Reading Test (unadjusted mean and SD) - Behaviour ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090147,Friesen (1984) 1_3,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,New Developmental Reading Test (f-test) - Behaviour Intervention,['Other outcome'],Secondary outcome(s),New Developmental Reading Test (unadjusted mean and SD) - Behaviour Intervention,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134246,Garaigordobil (1995),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Verbal Comprehension,['Other outcome'],,Verbal Comprehension,['Other outcome'],Secondary outcome(s),Aptitudes for Academic Learning Battery (BAPAE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134582,Glavin (1971),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,CAT Comprehension,['Other outcome'],Secondary outcome(s),CAT Vocabulary,['Mathematics primary outcome'],Secondary outcome(s),CAT Fundamentals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134584,Glenwick (1979) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,WRAT: Reading - Beh.Int. (PT),['Other outcome'],Secondary outcome(s),PPVT:  - Beh.Int. (PT),['Mathematics primary outcome'],Secondary outcome(s),WRAT: Arithm - Beh.Int (PT),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090150,Glenwick (1979) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,WRAT:Reading - Beh.In. (T) ,['Other outcome'],Secondary outcome(s),PPVT - Beh.In (T),['Mathematics primary outcome'],Secondary outcome(s),WRAT: Maths-Beh.In (T),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090151,Glenwick (1979) 1_3,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,WRAT: Reading -Beh.In (P),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090152,Glenwick (1979) 1_4,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,WRAT: Reading-Beh.Int (CH),['Writing and spelling primary outcome.'],Secondary outcome(s),WRAT: Spelling -Beh.Int (CH),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134184,Gordon (2009),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Connecticut Mastery Test of Reading Ability - Behaviour Intervention,['Mathematics primary outcome'],Secondary outcome(s),Connecticut Mastery Test of Mathematics - Behaviour Interventio,['Other outcome'],Secondary outcome(s),8th grade GPA - Behaviour Intervention,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134589,Gottfredson (1986),['Other outcome'],Secondary outcome(s),CTBS: total - Behav. Interv.,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,CTBS: Reading (posttest1983) - Behav. Int.,['Mathematics primary outcome'],Secondary outcome(s),CTBS: Maths - Behav. In,['Other outcome'],Secondary outcome(s),CTBS: Language - Behav. Int.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134591,Gottfredson (1986),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,School grades  in combined subjects - Behaviour Intervention,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134185,Gottfredson (2002),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Grade Point Average (First Semester),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134252,Grossman (1998),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Grade Point Average,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269811,Group (2002) BI,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Rank (ITBS/CAT) English & maths - BI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
