id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12,out_type_13,out_label_13,out_tit_13,out_type_14,out_label_14,out_tit_14
40307359,Van Den Bos (1998),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Comprehension Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269885,van Keer (2010) RC,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Comprehension Scores (Third Grade)(Post test),['Other outcome'],Secondary outcome(s),Reading Comprehension Post test score (Sixth Grade) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307262,Vaughn (2000),"['Toolkit primary outcome', 'Reading primary outcome']",,Reading Comprehension ,['Other outcome'],Secondary outcome(s),Reading Accuracy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307536,Vaughn (2010),['Other outcome'],Primary outcome,Reading Comprehension subtest of GRADE - Reading Comprehension Strategies,['Other outcome'],Primary outcome,Passage Comprehension (WJ-III) - Reading Comprehension strategies,['Other outcome'],Secondary outcome(s),Letter-Word Identification - Reading Comprehension Strategies,['Other outcome'],Secondary outcome(s),Word Attack (Woodcock Johnson Test) - Reading Comprehension Strategies,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Overall Primary reading outcome - GRADE & WJ-III,['Other outcome'],Secondary outcome(s),Sight Word Efficiency subtest of TOWRE - Reading Comprehension Strategies ,['Other outcome'],Secondary outcome(s),Phonemic Decoding Efficiency subtest of TOWRE- Reading Comprehension Strategies,['Other outcome'],Secondary outcome(s),AIMSweb Reading Maze  - Reading Comprehension Strategies,['Other outcome'],Secondary outcome(s),Sentence Reading Efficiency (TOSRE) - Reading Comprehension Strategies,['Writing and spelling primary outcome.'],Secondary outcome(s),Spelling subtest of Woodcock-Johnson Test  - Reading Comprehension Strategies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307538,Vaughn (2010),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Grade Reading Comprehension (F-test BAS vs Large),['Other outcome'],Secondary outcome(s),WJ-III Reading Comprehension (F-test Large vs BAS),['Other outcome'],Secondary outcome(s),TOWRE SWE (f-test Large vs BAS),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307537,Vaughn (2011),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Comprehension ,['Other outcome'],Secondary outcome(s),Reading Comprehension,['Other outcome'],Secondary outcome(s),Reading Comprehension (subsample),['Other outcome'],Secondary outcome(s),Reading Comprehension (subsample),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307360,Villani (1987),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,CRT-RN (ANCOVA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307541,Wanzek (2011),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,WJ III Passage Comp Postest,['Other outcome'],Secondary outcome(s),WJ III Letter Word Identification Postest,['Other outcome'],Secondary outcome(s),WJ III Word Attack Posttest,['Other outcome'],Secondary outcome(s),TOWRE Sight Word Postest,['Other outcome'],Secondary outcome(s),TOWRE Phonemic Decoding Postest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307477,Westera (1995),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,PAT: Comprehension - extent prog.,['Other outcome'],Secondary outcome(s),PAT: Compreh. - short progr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307362,Wigfield (2008) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Gates-MacGinitie Standardized Reading Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
