id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9
43090143,Dorval (1978) TA,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Comprehension- Teaching Assistants Group.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671600,Duff (2014),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,YARC-Early Word Reading (Post-test only),['Other outcome'],Secondary outcome(s),YARC-Single Word Reading (Post-test only),['Other outcome'],Secondary outcome(s),Prose reading accuracy (post test only),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671552,Fricke (2013),['Other outcome'],Secondary outcome(s),Overall Language,['Other outcome'],Secondary outcome(s),CELF-EV,['Other outcome'],Secondary outcome(s),YARC Early Word Reading ,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome, YARC Early Word Reading,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671553,Fricke (2017),['Other outcome'],Secondary outcome(s),CELF-EV (30wk vs control)- Immediate post test,['Other outcome'],Secondary outcome(s),CELF-EV (20wk vs control)- Immediate post test,['Other outcome'],Secondary outcome(s),Overall ES - CELF-EV (30wk+20wk vs control)- Immediate post test,['Other outcome'],Primary outcome,CG calculation - CELF-EV (30wk+20wk vs control)- Immediate post test,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,CG - Listening Comprehension YARC,['Other outcome'],Primary outcome,Listening Comprehension YARC 30-wk vs Control,['Other outcome'],Primary outcome,Listening Comprehension YARC 20-wk vs Control,NA,NA,NA,NA,NA,NA
37671623,Gibbs (2001),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Woodcock Johnson Letter-Word Identification Scores,['Other outcome'],Secondary outcome(s),Test of Phonemic Awareness (TOPA),['Other outcome'],Secondary outcome(s),Woodcock Johnson Word Attack,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671603,Goetz (2008),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,BAS II Word Reading,['Other outcome'],Secondary outcome(s),Early Word Recognition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296617,Gorard (2014),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,GL New Group Reading Test,['Other outcome'],SES/FSM outcome,GL New Group Reading Test FSM,['Other outcome'],Secondary outcome(s),GL New Group Reading Test SEN,['Other outcome'],Secondary outcome(s),GL New Group Reading Test  Low Achievers ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671634,Graham (2007),['Other outcome'],Secondary outcome(s),PAT-Maths (Post-test),['Other outcome'],Secondary outcome(s),PAT - Reading (Post-test),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,PAT Reading Comprehension (Gain),['Mathematics primary outcome'],Secondary outcome(s),PAT Maths (Gain),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671557,Graves (2010),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Letter Naming Fluency (A2-2 terms),['Other outcome'],Secondary outcome(s),Phoneme Segmentation (A2- 2 terms),['Other outcome'],Secondary outcome(s),Letter Naming Fluency (B-1 Terms),['Other outcome'],Secondary outcome(s),Phoneme Segmentation (B - 1 Term),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671558,Gray (2007),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Performance-One on one tuition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671515,Guerrero (2015),['Other outcome'],Secondary outcome(s),DIBELS (L2 Oral Reading Fluency) ANOVA,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,WLPB-R (L2 Broad Reading Ability) NOVA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671559,Gwernan-Jones (2018),['Other outcome'],Secondary outcome(s),Reading achievement word reading-Phonics,['Other outcome'],Secondary outcome(s),Reading achivement non word reading-Phonics,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading achievement-Phonics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671520,Haley (2017),['Other outcome'],Primary outcome,CELF Vocab-post test,['Other outcome'],Primary outcome,APT Information-Post test Score,['Other outcome'],Secondary outcome(s),YARC letter-sound knowledge posttest raw scores,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,YARC Listening Comprehension (reported ES),['Reading primary outcome'],Secondary outcome(s),YARC Early Word Reading (posttest raw scores),['Other outcome'],Secondary outcome(s),YARC Listening Comprehension - Posttest scores,NA,NA,NA,NA,NA,NA,NA,NA,NA
